Run,Population Size,Crossover Rate,Mutation Rate,Generations,Best Distance,Best Path
1,100,0.6,0.1,100,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
2,100,0.6,0.1,100,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
3,100,0.6,0.1,100,61.147486263112995,Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris
4,100,0.6,0.1,100,61.147486263112995,Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin
5,100,0.6,0.1,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
6,100,0.6,0.1,100,61.13744551656403,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria
7,100,0.6,0.1,100,62.180921934513435,Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
8,100,0.6,0.1,100,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
9,100,0.6,0.1,100,61.13744551656402,Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio
10,100,0.6,0.1,100,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
11,100,0.6,0.1,100,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
12,100,0.6,0.1,100,61.14748626311299,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria
13,100,0.6,0.1,100,61.147486263112995,Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin
14,100,0.6,0.1,100,61.13744551656403,Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo
15,100,0.6,0.1,100,61.13744551656403,Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice
16,100,0.6,0.1,100,61.14748626311299,Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo
17,100,0.6,0.1,100,62.180921934513435,Paris -> Alexandria -> Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio -> Berlin
18,100,0.6,0.1,100,61.13744551656403,Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris
19,100,0.6,0.1,100,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
20,100,0.6,0.1,100,61.13744551656403,Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin
21,100,0.6,0.1,100,61.13744551656403,Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio
22,100,0.6,0.1,100,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
23,100,0.6,0.1,100,61.14748626311299,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo
24,100,0.6,0.1,100,61.13744551656403,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria
25,100,0.6,0.1,100,62.180921934513435,Berlin -> Paris -> Alexandria -> Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio
26,100,0.6,0.1,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
27,100,0.6,0.1,100,61.147486263112995,Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo
28,100,0.6,0.1,100,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
29,100,0.6,0.1,100,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
30,100,0.6,0.1,100,61.147486263113,Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris
1,100,0.6,0.1,200,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
2,100,0.6,0.1,200,61.137445516564036,Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris
3,100,0.6,0.1,200,61.14748626311299,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria
4,100,0.6,0.1,200,61.147486263112995,Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin
5,100,0.6,0.1,200,62.180921934513435,Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow
6,100,0.6,0.1,200,61.137445516564036,Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris
7,100,0.6,0.1,200,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
8,100,0.6,0.1,200,61.147486263112995,Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin
9,100,0.6,0.1,200,61.137445516564036,Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow
10,100,0.6,0.1,200,62.69826625758689,Rio -> Berlin -> Paris -> Alexandria -> Rome -> Krakow -> Tokyo -> Cairo -> Gliwice -> Budapest
11,100,0.6,0.1,200,62.180921934513435,Berlin -> Rio -> Budapest -> Gliwice -> Cairo -> Rome -> Tokyo -> Krakow -> Alexandria -> Paris
12,100,0.6,0.1,200,62.180921934513435,Rio -> Budapest -> Gliwice -> Cairo -> Rome -> Tokyo -> Krakow -> Alexandria -> Paris -> Berlin
13,100,0.6,0.1,200,61.13744551656403,Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo
14,100,0.6,0.1,200,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
15,100,0.6,0.1,200,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
16,100,0.6,0.1,200,62.18092193451344,Alexandria -> Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio -> Berlin -> Paris
17,100,0.6,0.1,200,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
18,100,0.6,0.1,200,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
19,100,0.6,0.1,200,61.147486263112995,Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris
20,100,0.6,0.1,200,61.14748626311299,Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow
21,100,0.6,0.1,200,61.14748626311299,Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest
22,100,0.6,0.1,200,61.13744551656403,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria
23,100,0.6,0.1,200,61.147486263113,Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris
24,100,0.6,0.1,200,62.180921934513435,Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
25,100,0.6,0.1,200,61.14748626311299,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo
26,100,0.6,0.1,200,61.14748626311299,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo
27,100,0.6,0.1,200,61.14748626311299,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria
28,100,0.6,0.1,200,61.13744551656403,Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris
29,100,0.6,0.1,200,62.18092193451344,Alexandria -> Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio -> Berlin -> Paris
30,100,0.6,0.1,200,61.147486263112995,Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo
1,100,0.6,0.1,300,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
2,100,0.6,0.1,300,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
3,100,0.6,0.1,300,61.13744551656403,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria
4,100,0.6,0.1,300,61.13744551656403,Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin
5,100,0.6,0.1,300,61.147486263112995,Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
6,100,0.6,0.1,300,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
